"carat","cut","color","clarity","depth","table","price","x","y","z"
0.41,"Very Good","D","SI2",62.3,61,638,4.72,4.75,2.95
0.5,"Very Good","F","VS2",62.8,57,1402,5.05,5.08,3.18
1.03,"Fair","I","SI2",65.2,56,3530,6.42,6.35,4.16
1.1,"Ideal","I","SI1",62.1,57,5037,6.6,6.64,4.11
1.51,"Very Good","E","VS2",63.3,61,13757,7.24,7.17,4.56
0.3,"Ideal","H","VS2",62.1,55,457,4.3,4.33,2.68
0.87,"Premium","J","SI1",61.4,57,2321,6.17,6.14,3.78
1.05,"Very Good","H","VS1",63.3,57,5657,6.45,6.4,4.07
1,"Good","F","SI1",64,57,4372,6.29,6.33,4.04
2.01,"Good","I","SI1",63.8,57,13976,7.95,7.91,5.06
1.62,"Premium","G","VS2",62.3,58,13578,7.49,7.54,4.68
1.54,"Good","I","VS1",63.6,60,10349,7.33,7.3,4.65
0.3,"Ideal","H","VS2",62.4,55,491,4.28,4.31,2.68
1.15,"Premium","H","VS2",60.2,58,5191,6.86,6.8,4.11
0.51,"Premium","G","VS2",61.3,59,1443,5.17,5.11,3.15
0.33,"Premium","G","VS2",60.8,58,579,4.45,4.47,2.71
2.07,"Very Good","H","SI1",59.8,58,17019,8.23,8.26,4.93
0.57,"Very Good","H","SI1",63.1,54,1309,5.3,5.28,3.34
0.41,"Premium","E","VS2",62.1,58,935,4.75,4.78,2.96
0.71,"Fair","H","VS1",66.4,62,2401,5.54,5.49,3.66
0.32,"Very Good","I","VS2",63,57,449,4.33,4.37,2.74
0.55,"Ideal","H","VVS2",61.9,56,1668,5.22,5.25,3.24
0.3,"Ideal","H","VS2",60.7,57,608,4.37,4.33,2.64
1,"Good","D","SI2",64.3,59,4065,6.21,6.3,4.02
0.42,"Ideal","H","VS1",62,57,847,4.8,4.82,2.98
2.1,"Very Good","H","SI2",63,57,16479,8.08,8.13,5.11
1.15,"Very Good","D","VS1",62.9,54,7978,6.72,6.69,4.22
2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
1.23,"Ideal","H","SI1",61.7,55,6750,6.94,6.9,4.27
0.7,"Very Good","F","SI1",61.7,61,2230,5.67,5.7,3.51
